Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
1394,Cogito Finance,CGV,$0.03655,0.06%,12.78%,29.78%,"$3,537,220","$71,504
1,956,534 CGV","96,787,938 CGV"
1446,LandX Finance,LNDX,$0.3567,0.57%,0.32%,22.25%,"$2,986,600","$372,901
1,043,461 LNDX","8,372,042 LNDX"
1459,Carnomaly,CARR,$0.001831,2.06%,9.66%,47.22%,"$2,883,149","$72,709
39,718,985 CARR","1,575,000,000 CARR"
1568,Horizon Protocol,HZN,$0.01673,1.03%,0.13%,16.27%,"$2,018,954","$146,701
8,754,850 HZN","120,707,110 HZN"
1624,MBD Financials,MBD,$0.00006239,0.49%,2.06%,13.85%,"$1,636,115","$86,367
1,384,246,692 MBD","26,223,242,792 MBD"
1758,3DPass,P3D,$0.003202,0.45%,9.45%,6.35%,"$1,043,064","$29,303
9,177,757 P3D","325,726,084 P3D"
1779,Veloce,VEXT,$0.005251,0.34%,0.85%,3.57%,"$980,069","$258,740
49,315,564 VEXT","186,643,874 VEXT"
1798,Uno Re,UNO,$0.0116,0.14%,0.17%,7.82%,"$907,839","$141,417
12,196,739 UNO","78,242,153 UNO"
1810,ApeBond,ABOND,$0.005999,0.15%,1.50%,2.08%,"$865,569","$35,639
5,940,596 ABOND","144,282,792 ABOND"
1818,Alvara Protocol,ALVA,$0.06106,0.58%,1.59%,8.90%,"$829,787","$340,715
5,588,773 ALVA","13,588,879 ALVA"
2150,Acquire.Fi,ACQ,$0.00711,0.12%,2.80%,5.90%,"$249,133","$129,482
18,199,995 ACQ","35,041,183 ACQ"
2169,LABS Group,LABS,$0.0001048,0.17%,3.45%,3.19%,"$232,397","$79,658
760,316,128 LABS","2,216,879,594 LABS"
2425,Ekta,EKTA,$0.001681,0.01%,9.69%,6.84%,"$58,454","$3,098
1,842,884 EKTA","34,769,778 EKTA"
2991,IX Swap,IXS,$0.5976,0.58%,13.01%,7.16%,"$107,813,619","$606,577
1,012,709 IXS","180,000,000 IXS"
3164,Defactor,FACTR,$0.04436,0.28%,4.32%,3.35%,"$13,312,244","$310,401
6,995,089 FACTR","300,000,000 FACTR"
3190,Work X,WORK,$0.123,0.61%,15.29%,33.76%,"$2,303,147","$289,164
2,374,180 WORK","18,909,998 WORK"
3494,IPMB Token,IPMB,$64.70,0.01%,1.71%,3.58%,"$228,739,651","$139,433
2,155 IPMB","3,535,351 IPMB"
3563,CANTO,CANTO,$0.01923,0.64%,3.56%,12.99%,"$8,148,294","$125,439
6,518,613 CANTO","423,437,418 CANTO"
3609,VaporFund,VPR,$0.002365,0.05%,6.11%,8.52%,"$189,582","$115,244
48,725,087 VPR","80,155,556 VPR"
3656,BilliCat,BCAT,$0.003144,0.02%,6.25%,24.65%,"$314,401","$104,218
33,148,220 BCAT","100,000,000 BCAT"
3703,Decentralized ETF,DETF,$0.03198,0.04%,2.23%,3.68%,"$2,241,132","$96,767
3,022,443 DETF","70,000,000 DETF"
3784,HOME3,HTS,$0.02906,2.49%,9.09%,202.85%,"$2,164,683","$81,423
2,802,262 HTS","74,500,000 HTS"
3871,AssetMantle,MNTL,$0.0008829,0.46%,3.25%,1.88%,"$1,465,800","$66,750
75,596,899 MNTL","1,660,075,706 MNTL"
4075,LEOX,LEOX,$0.1856,0.51%,1.41%,0.18%,"$2,991,086","$43,858
235,238 LEOX","16,043,095 LEOX"
4604,STIMA,STIMA,$1.02,1.05%,0.21%,1.36%,"$32,199,490","$12,433
12,232 STIMA","31,678,640 STIMA"
4655,Angle,ANGLE,$0.02242,1.74%,2.67%,17.96%,"$298,645","$11,053
489,942 ANGLE","13,237,881 ANGLE"
4748,TMN Global,TMNG,$0.0125,0.01%,8.79%,21.34%,"$3,124,626","$8,852
708,283 TMNG","250,000,000 TMNG"
4951,Domani Protocol,DEXTF,$0.185,0.01%,4.04%,7.10%,"$16,382,913","$5,988
32,377 DEXTF","88,576,908 DEXTF"
4952,Tiamonds,TIA,$0.004904,1.00%,25.01%,9.55%,"$964,874","$5,982
1,219,758 TIA","196,745,437 TIA"
5168,Crafting Finance,CRF,$0.0007511,0.07%,0.08%,0.75%,"$46,598","$3,894
5,180,702 CRF","62,000,000 CRF"
5382,Comdex,CMDX,$0.004611,7.28%,23.80%,11.96%,"$872,919","$2,406
513,258 CMDX","186,189,910 CMDX"
5391,OSEAN,OSEAN,$0.0009536,0.00%,8.29%,22.47%,"$953,597","$2,393
2,509,717 OSEAN","1,000,000,000 OSEAN"
5551,NAOS Finance,NAOS,$0.009372,0.58%,1.09%,15.79%,"$789,195","$1,733
184,923 NAOS","84,208,922 NAOS"
6088,Lucidao,LCD,$0.005368,0.00%,1.34%,5.08%,"$1,417,148","$526
97,992 LCD","264,000,000 LCD"
6850,Grand Base,GB,$0.001608,0.92%,1.39%,21.07%,"$16,812","$99
61,793 GB","10,454,285 GB"
7049,Barter,BRTR,$0.00164,0.02%,0.45%,10.71%,"$28,696","$59
36,029 BRTR","17,500,000 BRTR"
7100,Evrmore,EVR,$0.0005654,0.08%,18.88%,18.99%,"$4,591,543","$50
87,742 EVR","8,120,921,920 EVR"
7129,Curio Gas Token,CGT,$0.01241,0.00%,1.33%,2.81%,"$1,241,258","$47
3,750 CGT","100,000,000 CGT"
