Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
161,Arkham,ARKM,$1.41,0.48%,13.62%,41.30%,"$316,325,087","$141,794,808
100,902,561 ARKM","225,100,000 ARKM"
187,io.net,IO,$2.10,0.15%,3.33%,19.94%,"$253,144,889","$92,225,875
43,843,117 IO","120,286,834 IO"
192,OriginTrail,TRAC,$0.5778,0.49%,4.65%,12.20%,"$238,323,182","$3,122,055
5,391,947 TRAC","412,463,783 TRAC"
199,Flux,FLUX,$0.6314,0.42%,1.68%,11.87%,"$223,169,501","$10,977,435
17,386,113 FLUX","353,456,906 FLUX"
210,Turbo,TURBO,$0.006098,0.92%,5.93%,32.17%,"$393,275,939","$162,152,265
26,609,316,258 TURBO","64,490,000,000 TURBO"
223,Aethir,ATH,$0.06215,1.47%,7.87%,16.44%,"$252,143,199","$73,627,542
1,185,275,108 ATH","4,056,713,543 ATH"
225,PAAL AI,PAAL,$0.279,0.84%,5.74%,72.14%,"$228,679,564","$5,103,105
18,288,200 PAAL","819,528,083 PAAL"
229,Qubic,QUBIC,$0.051914,0.12%,5.31%,11.60%,"$215,369,471","$2,510,217
1,313,707,200,130 QUBIC","112,546,976,413,437 QUBIC"
235,Destra Network,DSYNC,$0.2091,0.65%,18.64%,32.17%,"$202,261,989","$2,037,431
9,745,976 DSYNC","967,512,688 DSYNC"
245,Kadena,KDA,$0.6345,0.73%,0.89%,26.37%,"$183,893,400","$12,221,816
19,292,582 KDA","289,811,805 KDA"
251,Arcblock,ABT,$1.82,1.30%,2.54%,16.73%,"$179,613,868","$937,288
515,894 ABT","98,554,305 ABT"
254,0x0.ai,0x0,$0.2016,0.18%,9.18%,61.72%,"$175,135,580","$852,809
4,229,401 0X0","868,563,455 0x0"
266,Zignaly,ZIG,$0.1146,0.23%,9.43%,17.66%,"$164,283,381","$15,149,292
132,128,217 ZIG","1,433,308,739 ZIG"
276,Delysium,AGI,$0.162,0.58%,21.25%,39.97%,"$151,264,756","$26,864,262
165,953,150 AGI","933,776,370 AGI"
278,Casper,CSPR,$0.01205,0.82%,5.60%,9.17%,"$148,425,836","$5,102,331
420,669,111 CSPR","12,322,453,215 CSPR"
288,Ozone Chain,OZO,$0.2386,0.20%,0.29%,0.57%,"$136,862,378","$259,204
1,085,565 OZO","573,491,638 OZO"
291,RSS3,RSS3,$0.1355,0.92%,5.26%,22.76%,"$133,792,832","$8,286,815
61,349,528 RSS3","987,525,011 RSS3"
305,IQ,IQ,$0.006527,2.12%,16.97%,37.57%,"$123,436,925","$180,151,515
27,434,759,748 IQ","18,912,501,356 IQ"
306,NetMind Token,NMT,$3.68,1.66%,27.68%,100.63%,"$123,184,733","$11,030,279
2,992,785 NMT","33,450,208 NMT"
315,iExec RLC,RLC,$1.64,0.46%,0.82%,16.48%,"$118,860,235","$6,219,670
3,791,857 RLC","72,382,548 RLC"
323,Numeraire,NMR,$15.59,0.44%,1.46%,16.53%,"$114,439,064","$6,637,357
426,804 NMR","7,339,116 NMR"
328,Marlin,POND,$0.01369,0.16%,0.92%,14.46%,"$110,675,773","$6,002,853
438,350,137 POND","8,087,375,977 POND"
336,Sleepless AI,AI,$0.4944,0.56%,11.22%,36.05%,"$107,526,966","$48,464,323
98,274,350 AI","217,500,000 AI"
347,inSure DeFi,SURE,$0.003843,0.00%,4.39%,1.63%,"$102,967,192","$429,326
111,702,306 SURE","26,790,063,175 SURE"
359,Nosana,NOS,$2.03,0.02%,0.82%,9.86%,"$97,649,048","$1,249,652
616,915 NOS","48,197,665 NOS"
376,Phala Network,PHA,$0.1222,0.15%,1.97%,19.72%,"$91,911,893","$12,978,820
106,059,492 PHA","752,013,346 PHA"
380,dKargo,DKA,$0.02112,0.82%,0.46%,8.85%,"$90,382,336","$1,576,579
74,442,703 DKA","4,279,583,333 DKA"
392,Solidus Ai Tech,AITECH,$0.08551,0.58%,10.22%,4.86%,"$87,223,277","$6,089,909
71,199,810 AITECH","1,020,059,849 AITECH"
394,Oraichain,ORAI,$6.28,0.08%,3.60%,19.67%,"$86,878,880","$2,774,487
441,748 ORAI","13,823,700 ORAI"
400,Hooked Protocol,HOOK,$0.4587,0.52%,2.13%,18.16%,"$85,622,804","$13,926,086
30,461,262 HOOK","186,660,920 HOOK"
405,ChainGPT,CGPT,$0.1478,1.01%,17.79%,21.91%,"$82,622,638","$7,199,930
48,696,802 CGPT","558,845,349 CGPT"
411,CUDOS,CUDOS,$0.01182,0.07%,1.79%,43.48%,"$80,846,304","$1,536,036
129,945,621 CUDOS","6,841,280,975 CUDOS"
433,Phoenix,PHB,$1.44,0.08%,6.55%,23.55%,"$74,408,413","$13,260,702
9,220,787 PHB","51,629,341 PHB"
435,Node AI,GPU,$0.7748,0.03%,7.83%,21.38%,"$73,664,445","$1,217,670
1,572,324 GPU","95,069,916 GPU"
445,Artificial Liquid Intelligence,ALI,$0.01151,0.49%,10.06%,26.18%,"$71,100,435","$1,235,559
107,313,828 ALI","6,179,259,839 ALI"
449,NFPrompt,NFP,$0.2387,0.37%,2.44%,22.42%,"$69,910,741","$10,444,026
43,787,278 NFP","292,859,589 NFP"
457,HashAI,HASHAI,$0.0007984,1.70%,15.28%,66.37%,"$67,512,409","$795,138
984,483,615 HASHAI","84,564,818,695 HASHAI"
502,TokenFi,TOKEN,$0.05809,0.53%,0.16%,23.48%,"$58,088,275","$6,940,104
119,643,786 TOKEN","1,000,019,789 TOKEN"
521,LimeWire,LMWR,$0.181,1.15%,0.50%,10.54%,"$53,579,537","$3,636,741
20,093,317 LMWR","295,982,476 LMWR"
522,PlatON,LAT,$0.008902,1.01%,2.71%,1.51%,"$53,414,654","$8,308,769
932,707,441 LAT","6,000,280,961 LAT"
524,PaLM AI,PALM,$0.679,1.52%,16.61%,66.10%,"$52,490,455","$955,568
1,404,254 PALM","77,300,000 PALM"
526,Forta,FORT,$0.1222,0.31%,0.68%,5.03%,"$52,059,300","$1,019,648
8,339,602 FORT","425,900,172 FORT"
544,Agoras: Currency of Tau,AGRS,$1.62,0.28%,4.82%,46.35%,"$48,315,250","$341,166
207,347 AGRS","29,892,947 AGRS"
554,Dimitra,DMTR,$0.09746,0.71%,10.60%,9.80%,"$47,412,886","$656,417
6,735,204 DMTR","486,503,182 DMTR"
555,Virtuals Protocol,VIRTUAL,$0.04713,0.23%,15.78%,68.96%,"$47,131,097","$744,955
15,808,509 VIRTUAL","1,000,000,000 VIRTUAL"
559,Streamr,DATA,$0.04345,0.90%,0.67%,30.11%,"$46,208,350","$6,597,725
152,450,588 DATA","1,063,403,853 DATA"
566,Aleph.im,ALEPH,$0.1823,0.23%,0.98%,27.02%,"$45,071,692","$664,212
3,643,717 ALEPH","247,220,482 ALEPH"
569,Humans.ai,HEART,$0.007961,0.05%,1.69%,1.13%,"$44,500,389","$141,470
17,769,722 HEART","5,590,033,742 HEART"
590,DIA,DIA,$0.3788,0.13%,0.95%,20.07%,"$41,899,718","$4,319,667
11,392,568 DIA","110,617,604 DIA"
619,Cortex,CTXC,$0.1669,0.71%,0.73%,7.49%,"$37,373,108","$3,193,502
19,171,196 CTXC","223,983,303 CTXC"
623,DecideAI,DCD,$0.07525,1.12%,4.30%,4.54%,"$36,773,412","$328,818
4,377,569 DCD","488,677,471 DCD"
630,Verasity,VRA,$0.003589,0.71%,10.73%,23.21%,"$35,638,911","$9,574,867
2,676,111,668 VRA","9,930,514,635 VRA"
631,SIDUS,SIDUS,$0.003773,0.23%,1.38%,37.91%,"$35,302,845","$698,624
185,001,470 SIDUS","9,356,868,845 SIDUS"
633,VIDT DAO,VIDT,$0.04188,2.57%,0.27%,2.18%,"$35,058,750","$3,407,663
81,331,518 VIDT","837,071,066 VIDT"
638,AIT Protocol,AIT,$0.1414,0.78%,48.35%,121.41%,"$34,173,002","$4,779,389
33,799,787 AIT","241,664,663 AIT"
640,Victoria VR,VR,$0.006377,0.48%,3.56%,3.38%,"$34,030,838","$6,054,992
949,583,029 VR","5,336,247,368 VR"
654,LinqAI,LNQ,$0.1727,0.75%,9.85%,25.53%,"$33,054,935","$1,994,302
11,550,761 LNQ","191,434,059 LNQ"
664,Measurable Data Token,MDT,$0.04682,0.07%,0.01%,23.04%,"$31,656,242","$5,000,075
106,825,631 MDT","676,157,013 MDT"
666,Sentinel Protocol,UPP,$0.06354,5.04%,18.42%,13.12%,"$31,630,260","$63,285,593
999,354,413 UPP","497,834,800 UPP"
670,Numbers Protocol,NUM,$0.04636,0.23%,9.96%,20.13%,"$31,362,861","$569,122
12,278,437 NUM","676,474,220 NUM"
675,Commune AI,COMAI,$0.3056,9.30%,85.35%,104.83%,"$30,789,194","$531,531
1,746,277 COMAI","100,735,860 COMAI"
677,SelfKey,KEY,$0.005109,0.23%,0.85%,11.15%,"$30,654,945","$5,228,092
1,024,894,743 KEY","5,999,999,954 KEY"
678,Graphlinq Chain,GLQ,$0.08795,1.68%,9.29%,69.25%,"$29,903,320","$1,945,105
21,839,160 GLQ","339,999,895 GLQ"
682,Zero1 Labs,DEAI,$0.3211,3.87%,1.13%,112.77%,"$29,291,307","$4,702,426
14,395,669 DEAI","91,221,244 DEAI"
706,VAIOT,VAI,$0.08106,0.34%,7.03%,8.67%,"$27,946,540","$967,274
11,925,530 VAI","344,751,032 VAI"
721,PARSIQ,PRQ,$0.09967,0.32%,2.22%,2.19%,"$25,940,156","$1,382,038
13,864,649 PRQ","260,256,872 PRQ"
741,Hacken Token,HAI,$0.03672,0.39%,2.59%,19.21%,"$23,685,197","$328,696
8,929,623 HAI","644,984,745 HAI"
746,SingularityDAO,SDAO,$0.2817,0.95%,2.18%,2.83%,"$23,302,044","$328,979
1,168,552 SDAO","82,733,204 SDAO"
761,GT Protocol,GTAI,$0.622,2.39%,18.26%,45.22%,"$22,421,124","$5,337,733
8,612,123 GTAI","36,047,815 GTAI"
779,SPECTRE AI,SPECTRE,$2.33,0.99%,18.28%,85.27%,"$21,164,262","$291,352
125,190 SPECTRE","9,093,998 SPECTRE"
794,Cere Network,CERE,$0.002788,0.17%,1.24%,10.28%,"$19,351,881","$384,763
137,959,687 CERE","6,939,923,952 CERE"
799,OORT,OORT,$0.09032,0.88%,6.10%,6.46%,"$19,180,568","$1,370,788
15,169,196 OORT","212,359,971 OORT"
821,zKML,ZKML,$0.1951,0.28%,11.38%,29.35%,"$18,212,169","$91,901
471,166 ZKML","93,371,600 ZKML"
830,Botto,BOTTO,$0.3706,0.95%,18.71%,20.92%,"$17,682,691","$741,427
1,998,989 BOTTO","47,712,015 BOTTO"
833,Vectorspace AI,VXV,$0.3547,0.90%,3.47%,15.64%,"$17,565,017","$57,101
160,962 VXV","49,517,054 VXV"
858,NuNet,NTX,$0.03215,0.43%,1.03%,9.71%,"$16,206,368","$116,617
3,624,053 NTX","504,084,665 NTX"
875,Only1,LIKE,$0.04608,1.41%,10.35%,17.64%,"$15,259,178","$814,329
17,654,007 LIKE","331,159,918 LIKE"
883,Volt Inu,VOLT,$0.062711,0.59%,0.89%,13.66%,"$14,847,131","$80,169
295,732,397,714 VOLT","54,766,287,142,827 VOLT"
887,QnA3.AI,GPT,$0.09653,0.89%,1.57%,20.61%,"$14,841,467","$1,681,637
17,430,340 GPT","153,749,940 GPT"
895,Lumerin,LMR,$0.02388,0.66%,8.98%,44.09%,"$14,485,209","$281,948
11,794,535 LMR","606,615,000 LMR"
901,Gaimin,GMRX,$0.0009085,0.19%,0.44%,2.48%,"$14,281,788","$122,707
135,073,630 GMRX","15,720,576,054 GMRX"
907,Apeiron,APRS,$0.164,0.62%,6.87%,9.30%,"$14,368,108","$4,253,195
26,314,319 APRS","87,630,814 APRS"
934,iMe Lab,LIME,$0.03042,0.08%,3.38%,12.94%,"$13,162,907","$3,967,761
130,312,877 LIME","432,774,153 LIME"
952,HyperGPT,HGPT,$0.02139,0.26%,7.69%,13.79%,"$12,484,086","$2,052,825
95,988,282 HGPT","583,625,238 HGPT"
953,HotKeySwap,HOTKEY,$0.2928,1.75%,32.06%,55.42%,"$12,478,612","$429,726
1,467,864 HOTKEY","42,625,226 HOTKEY"
955,DeepBrain Chain,DBC,$0.002292,0.22%,4.37%,11.95%,"$12,443,180","$175,678
76,704,688 DBC","5,428,952,299 DBC"
964,Ooki Protocol,OOKI,$0.001369,0.45%,2.17%,9.75%,"$12,016,145","$1,269,809
927,555,429 OOKI","8,777,418,567 OOKI"
979,Openfabric AI,OFN,$0.1117,0.74%,33.42%,25.20%,"$11,721,586","$529,190
4,737,050 OFN","105,030,527 OFN"
1005,Atlas Navi,NAVI,$0.1162,1.53%,4.23%,7.34%,"$11,005,471","$149,373
1,285,157 NAVI","94,675,092 NAVI"
1004,Three Protocol Token,THREE,$0.1294,3.27%,32.19%,34.42%,"$11,001,297","$700,398
5,409,973 THREE","85,000,000 THREE"
1018,GameGPT,DUEL,$0.003609,0.92%,9.05%,23.81%,"$10,664,993","$1,284,148
355,776,545 DUEL","2,954,764,892 DUEL"
1040,Matrix AI Network,MAN,$0.02184,0.18%,5.83%,20.53%,"$9,839,837","$478,747
21,920,235 MAN","450,533,123 MAN"
1059,DexCheck AI,DCK,$0.02692,0.11%,8.47%,10.82%,"$9,137,627","$1,291,900
47,988,335 DCK","339,422,186 DCK"
1068,Big Data Protocol,BDP,$0.1715,1.82%,2.45%,56.97%,"$8,968,378","$127,563
743,599 BDP","52,278,856 BDP"
1088,Step App,FITFI,$0.003304,0.82%,2.08%,15.46%,"$8,358,465","$2,517,428
761,992,996 FITFI","2,530,000,000 FITFI"
1090,Nuco.cloud,NCDT,$0.2508,0.61%,20.25%,34.63%,"$8,297,762","$297,224
1,185,326 NCDT","33,091,343 NCDT"
1121,bitsCrunch,BCUT,$0.02827,0.23%,0.80%,21.27%,"$7,734,870","$671,184
23,745,231 BCUT","273,645,090 BCUT"
1148,TRVL,TRVL,$0.02188,0.09%,0.65%,2.90%,"$7,246,002","$204,214
9,335,346 TRVL","331,240,882 TRVL"
1150,Ta-da,TADA,$0.0316,0.18%,2.22%,0.30%,"$7,220,326","$128,543
4,067,711 TADA","228,485,283 TADA"
1160,AIPAD,AIPAD,$0.06141,0.52%,0.59%,26.29%,"$6,995,393","$492,135
8,014,294 AIPAD","113,918,167 AIPAD"
1161,Phantasma,SOUL,$0.05599,0.02%,1.11%,3.48%,"$6,950,484","$442,069
7,894,948 SOUL","124,129,198 SOUL"
1162,Synesis One,SNS,$0.01522,1.55%,66.74%,47.86%,"$6,942,708","$1,042,906
68,536,487 SNS","456,252,758 SNS"
1178,PIBBLE,PIB,$0.0003001,0.01%,1.51%,0.04%,"$6,572,697","$778,464
2,593,875,044 PIB","21,900,500,893 PIB"
1198,Robonomics.network,XRT,$3.71,0.45%,14.29%,65.21%,"$6,199,694","$49,638
13,372 XRT","1,670,176 XRT"
1213,Optimus AI,OPTI,$0.06368,0.72%,3.44%,18.02%,"$6,052,232","$55,889
877,590 OPTI","95,034,939 OPTI"
1215,Netvrk,NETVR,$0.06747,0.13%,0.61%,11.33%,"$5,987,923","$372,807
5,525,863 NETVR","88,754,833 NETVR"
1229,Swash,SWASH,$0.005825,0.12%,0.17%,4.98%,"$5,770,357","$35,206
6,043,927 SWASH","990,618,673 SWASH"
1247,imgnAI,IMGNAI,$0.007131,0.65%,56.48%,34.68%,"$5,539,521","$1,231,592
172,711,983 IMGNAI","776,833,333 IMGNAI"
1256,Bad Idea AI,BAD,$0.07102,0.13%,1.87%,7.01%,"$5,343,772","$4,085,098
400,527,205,242,728 BAD","523,935,084,946,765 BAD"
1257,SENATE,SENATE,$0.04472,0.04%,2.27%,41.52%,"$5,333,841","$20,391
455,954 SENATE","119,266,568 SENATE"
1285,Effect AI,EFX,$0.01932,0.19%,127.51%,137.80%,"$4,873,142","$868,726
44,953,623 EFX","252,168,527 EFX"
1309,Omax Coin,OMAX,$0.0005173,0.09%,0.14%,8.07%,"$4,483,757","$605,382
1,170,495,121 OMAX","8,667,996,990 OMAX"
1320,TypeAI,TYPE,$0.4561,0.50%,16.09%,34.93%,"$4,333,272","$27,524
60,342 TYPE","9,500,000 TYPE"
1361,Presearch,PRE,$0.009288,0.66%,3.99%,3.40%,"$3,683,266","$39,457
4,123,584 PRE","396,578,435 PRE"
1367,UnMarshal,MARSH,$0.06766,0.30%,2.10%,2.26%,"$3,757,348","$434,477
6,421,794 MARSH","55,535,560 MARSH"
1367,UnMarshal,MARSH,$0.06766,0.30%,2.10%,2.26%,"$3,757,348","$434,477
6,421,794 MARSH","55,535,560 MARSH"
1376,Lossless,LSS,$0.06634,0.08%,8.22%,14.83%,"$3,686,636","$148,181
2,233,519 LSS","55,572,672 LSS"
1390,Covalent,CQT,$0.00415,1.12%,5.34%,8.24%,"$3,553,523","$17,525
4,222,904 CQT","856,175,826 CQT"
1393,Cogito Finance,CGV,$0.03655,0.06%,12.78%,29.78%,"$3,537,208","$71,503
1,956,517 CGV","96,787,938 CGV"
1425,Edge Matrix Computing,EMC,$0.1066,0.62%,0.54%,5.54%,"$3,197,326","$230,100
2,163,361 EMC","30,006,982 EMC"
1440,Ispolink,ISP,$0.00111,0.74%,10.71%,50.26%,"$3,058,354","$571,421
516,492,489 ISP","2,756,425,785 ISP"
1455,Mozaic,MOZ,$0.01901,1.14%,1.74%,8.94%,"$2,916,777","$33,016
1,736,808 MOZ","153,438,514 MOZ"
1464,Bridge Oracle,BRG,$0.0003486,4.36%,11.05%,28.39%,"$2,789,197","$4,287,583
12,321,845,366 BRG","8,002,167,205 BRG"
1467,Crypto-AI-Robo.com,CAIR,$0.003201,1.34%,92.85%,62.19%,"$2,748,722","$21,738
6,800,026 CAIR","858,632,919 CAIR"
1472,Lambda,LAMB,$0.001639,1.01%,0.50%,4.25%,"$2,698,151","$4,217,341
2,572,134,357 LAMB","1,646,414,198 LAMB"
1481,PolkaBridge,PBR,$0.03473,0.68%,7.30%,20.88%,"$2,606,118","$121,044
3,461,605 PBR","75,041,974 PBR"
1486,Morpheus Infrastructure Node,MIND,$0.001878,4.46%,4.27%,12.96%,"$2,566,139","$69,650
37,099,182 MIND","1,366,201,800 MIND"
1495,B-cube.ai,BCUBE,$0.09427,0.00%,45.13%,61.07%,"$2,520,746","$43,835
464,992 BCUBE","26,739,748 BCUBE"
1514,AXIS Token,AXIS,$0.007447,0.00%,0.53%,4.88%,"$2,385,392","$232
31,147 AXIS","320,303,188 AXIS"
1550,ClinTex CTi,CTI,$0.01714,0.22%,4.90%,18.18%,"$2,132,534","$201,382
11,768,760 CTI","124,445,175 CTI"
1561,ROOBEE,ROOBEE,$0.0005087,0.70%,8.15%,15.07%,"$2,086,702","$172,760
339,259,183 ROOBEE","4,102,063,740 ROOBEE"
1568,Chirpley,CHRP,$0.004871,0.22%,0.54%,14.53%,"$2,011,888","$353,189
72,321,530 CHRP","413,029,583 CHRP"
1587,PureFi Protocol,UFI,$0.03214,0.75%,3.71%,14.13%,"$1,877,485","$7,356
228,905 UFI","58,422,831 UFI"
1617,Neurahub,NEURA,$0.02047,0.00%,10.10%,28.89%,"$1,685,532","$10,098
493,300 NEURA","82,343,569 NEURA"
1624,MBD Financials,MBD,$0.00006239,0.49%,2.11%,13.86%,"$1,636,035","$86,364
1,384,222,542 MBD","26,223,242,792 MBD"
1628,Dock,DOCK,$0.001854,1.34%,0.61%,1.36%,"$1,624,642","$50,945
27,480,267 DOCK","876,417,166 DOCK"
1630,DxChain Token,DX,$0.00003201,0.02%,0.15%,10.33%,"$1,600,505","$2,503
78,181,562 DX","50,000,000,000 DX"
1635,Dotmoovs,MOOV,$0.002114,0.79%,1.97%,25.83%,"$1,545,840","$711,200
336,396,580 MOOV","731,180,094 MOOV"
1648,Deri Protocol,DERI,$0.01186,0.08%,0.03%,4.39%,"$1,478,763","$6,656
561,506 DERI","124,695,829 DERI"
1681,WAM,WAM,$0.002772,0.18%,0.17%,5.10%,"$1,288,393","$154,768
55,317,583 WAM","464,780,364 WAM"
1714,TrustVerse,TRV,$0.00115,2.24%,6.00%,0.30%,"$1,150,482","$11,620
9,872,278 TRV","1,000,000,000 TRV"
1722,GNY,GNY,$0.006039,0.51%,0.35%,13.60%,"$1,161,728","$43,076
7,137,667 GNY","192,376,657 GNY"
1734,LBRY Credits,LBC,$0.001799,7.75%,8.93%,14.35%,"$1,176,743","$234
137,248 LBC","654,237,215 LBC"
1798,Uno Re,UNO,$0.01159,0.06%,0.06%,7.68%,"$906,638","$141,360
12,183,427 UNO","78,242,153 UNO"
1811,ApeBond,ABOND,$0.005992,0.50%,0.63%,2.20%,"$864,511","$35,638
5,940,572 ABOND","144,282,792 ABOND"
1822,GoCrypto Token,GOC,$0.00334,0.02%,4.58%,3.18%,"$819,189","$131,596
39,400,375 GOC","245,278,438 GOC"
1824,Lithium,LITH,$0.0001561,1.61%,0.40%,17.77%,"$818,201","$273,380
1,755,783,264 LITH","5,242,220,240 LITH"
1856,AIgentX,AIX,$0.009806,0.88%,6.87%,66.05%,"$728,116","$59,604
6,051,376 AIX","74,253,480 AIX"
1861,TRAVA.FINANCE,TRAVA,$0.0001973,0.00%,6.77%,8.10%,"$724,696","$103,763
525,938,921 TRAVA","3,673,771,603 TRAVA"
1877,XMON,XMON,$463.71,2.10%,7.69%,2.61%,"$693,210","$30
0 XMON","1,495 XMON"
1895,Idena,IDNA,$0.009172,0.22%,0.62%,21.17%,"$640,063","$11,503
1,253,914 IDNA","69,780,939 IDNA"
1932,aiRight,AIRI,$0.002182,0.00%,5.57%,19.42%,"$559,210","$53,383
24,515,226 AIRI","256,262,565 AIRI"
1958,Aimedis (new),AIMX,$0.001579,0.81%,2.05%,1.41%,"$525,665","$36,532
23,147,288 AIMX","333,000,000 AIMX"
1979,Cirus Foundation,CIRUS,$0.007809,0.01%,2.28%,2.45%,"$488,763","$83,551
10,699,240 CIRUS","62,590,209 CIRUS"
1995,Metaverse Face,MEFA,$0.00004903,0.04%,3.06%,5.54%,"$466,556","$5,424
110,609,175 MEFA","9,515,523,108 MEFA"
2028,Bird.Money,BIRD,$4.38,0.01%,5.50%,20.09%,"$416,151","$5,750
1,312 BIRD","94,942 BIRD"
2031,Neurashi,NEI,$0.005108,0.33%,0.97%,8.04%,"$412,295","$183,447
36,026,523 NEI","80,719,906 NEI"
2062,Gemach,GMAC,$0.0007326,0.00%,1.56%,10.42%,"$366,279",,"500,000,000 GMAC"
2092,All In,ALLIN,$0.3281,0.85%,1.26%,10.19%,"$312,188","$54,446
166,202 ALLIN","951,588 ALLIN"
2113,Artisse,CATHEON,$0.0002999,2.89%,0.65%,7.14%,"$290,488","$5,263
17,697,039 CATHEON","968,534,281 CATHEON"
2127,OceanEx Token,OCE,$0.00015,0.02%,0.02%,76.45%,"$268,153",,"1,788,038,022 OCE"
2149,BullBear AI,AIBB,$0.09122,1.98%,4.13%,10.15%,"$249,582","$5,317
43,583,695,250,444 AIBB","2,045,833,899,998,990 AIBB"
2172,Ojamu,OJA,$0.002285,0.00%,6.18%,11.16%,"$228,528","$2,748
1,202,384 OJA","99,996,080 OJA"
2189,Arcona,ARCONA,$0.01406,0.07%,12.33%,16.40%,"$215,679","$1,523
108,301 ARCONA","15,335,470 ARCONA"
2231,MetamonkeyAi,MMAI,$0.00002883,0.24%,1.45%,4.49%,"$175,868","$27,767
964,941,369 MMAI","6,099,376,989 MMAI"
2269,Raze Network,RAZE,$0.001251,0.00%,0.29%,10.83%,"$148,457","$3,823
3,056,174 RAZE","118,690,910 RAZE"
2328,YFDAI.FINANCE,YF-DAI,$27.25,0.00%,4.13%,1.64%,"$108,605","$5,315
195 YF-DAI","3,986 YF-DAI"
2455,Pawtocol,UPI,$0.0001746,0.18%,1.31%,7.51%,"$45,027","$4,835
27,646,196 UPI","257,924,377 UPI"
2480,Ubex,UBEX,$0.00001099,0.00%,10.70%,16.82%,"$36,327","$68
6,179,754 UBEX","3,306,258,739 UBEX"
2630,Connectome,CNTM,$0.00179,14.48%,12.12%,23.81%,"$2,167","$46,382
27,064,406 CNTM","1,210,675 CNTM"
2666,Spectral,SPEC,$8.81,1.26%,3.99%,70.02%,"$91,044,195","$28,185,305
3,200,772 SPEC","10,339,135 SPEC"
2719,Altered State Token,ASTO,$0.01287,0.02%,0.05%,29.71%,"$6,725,624","$4,100,202
318,891,187 ASTO","523,082,169 ASTO"
2721,LayerAI,LAI,$0.02235,0.43%,13.55%,70.88%,"$52,963,626","$4,029,953
180,407,031 LAI","2,370,997,728 LAI"
2760,Ocean Protocol,OCEAN,$0.6961,0.63%,1.74%,27.64%,"$438,040,415","$2,398,334
3,444,900 OCEAN","629,189,183 OCEAN"
2769,Autonolas,OLAS,$1.40,1.04%,12.00%,78.05%,"$64,382,088","$2,220,073
1,582,428 OLAS","45,890,394 OLAS"
2868,SingularityNET,AGIX,$0.708,0.73%,0.12%,27.18%,"$857,602,140","$1,100,506
1,554,391 AGIX","1,211,306,169 AGIX"
2873,ThoreCoin,THR,$140.25,0.01%,0.04%,0.08%,"$12,158,135","$1,077,743
7,684 THR","86,686 THR"
2889,XANA,XETA,$0.002186,0.11%,3.47%,21.40%,"$6,199,927","$957,351
439,337,114 XETA","2,845,201,909 XETA"
2903,Trias Token (New),TRIAS,$5.50,0.03%,5.81%,25.69%,"$55,019,626","$893,089
162,322 TRIAS","10,000,000 TRIAS"
2909,Mind,MND,$0.05815,0.82%,48.40%,40.23%,"$4,651,783","$859,817
14,786,872 MND","80,000,000 MND"
2917,Ozone Metaverse,OZONE,$0.0009997,0.05%,4.22%,6.46%,"$767,791","$822,592
820,255,176 OZONE","765,610,105 OZONE"
